hour_utc,anchor_block,l1_gas_price_gwei,avg_gas_used,avg_gas_limit,utilization_pct,avg_tx_count,base_fee_gwei,n_blocks_sampled
2026-06-20T00:00:00+00:00,96891644,0.149467,252131,60000000,0.4202,1.67,50.00,6
2026-06-20T01:00:00+00:00,96893444,0.131525,51889,60000000,0.0865,1.00,50.00,6
2026-06-20T02:00:00+00:00,96895244,0.143061,51664,60000000,0.0861,1.17,50.00,6
2026-06-20T03:00:00+00:00,96897044,0.148875,74002,60000000,0.1233,1.33,50.00,6
2026-06-20T04:00:00+00:00,96898844,0.131873,127027,60000000,0.2117,2.50,50.00,6
2026-06-20T05:00:00+00:00,96900644,0.113353,154787,60000000,0.2580,2.67,50.00,6
2026-06-20T06:00:00+00:00,96902444,0.186665,128168,60000000,0.2136,2.33,50.00,6
2026-06-20T07:00:00+00:00,96904244,0.123450,129384,60000000,0.2156,2.33,50.00,6
2026-06-20T08:00:00+00:00,96906044,0.168383,123378,60000000,0.2056,2.17,50.00,6
2026-06-20T09:00:00+00:00,96907844,0.140195,74012,60000000,0.1234,1.33,50.00,6
2026-06-20T10:00:00+00:00,96909644,0.119106,78991,60000000,0.1317,1.50,50.00,6
2026-06-20T11:00:00+00:00,96911444,0.296405,53605,60000000,0.0893,1.17,50.00,6
2026-06-20T12:00:00+00:00,96913244,0.157629,90480,60000000,0.1508,1.50,50.00,6
2026-06-20T13:00:00+00:00,96915044,0.188176,67096,60000000,0.1118,1.17,50.00,6
2026-06-20T14:00:00+00:00,96916844,0.146684,58085,60000000,0.0968,1.17,50.00,6
2026-06-20T15:00:00+00:00,96918644,0.137488,77638,60000000,0.1294,1.50,50.00,6
2026-06-20T16:00:00+00:00,96920444,0.120157,65671,60000000,0.1095,1.17,50.00,6
2026-06-20T17:00:00+00:00,96922244,0.179505,78934,60000000,0.1316,1.33,50.00,6
2026-06-20T18:00:00+00:00,96924044,0.132634,46297,60000000,0.0772,1.00,50.00,6
2026-06-20T19:00:00+00:00,96925844,0.114925,53291,60000000,0.0888,1.00,50.00,6
2026-06-20T20:00:00+00:00,96927644,0.106661,46297,60000000,0.0772,1.00,50.00,6
2026-06-20T21:00:00+00:00,96929444,0.086746,46297,60000000,0.0772,1.00,50.00,6
2026-06-20T22:00:00+00:00,96931244,0.089326,46297,60000000,0.0772,1.00,50.00,6
2026-06-20T23:00:00+00:00,96933044,0.075196,54281,60000000,0.0905,1.17,50.00,6
2026-06-21T00:00:00+00:00,96934844,0.068057,54014,60000000,0.0900,1.17,50.00,6
2026-06-21T01:00:00+00:00,96936644,0.077688,46289,60000000,0.0771,1.00,50.00,6
2026-06-21T02:00:00+00:00,96938444,0.062596,56451,60000000,0.0941,1.17,50.00,6
2026-06-21T03:00:00+00:00,96940244,0.076178,88626,60000000,0.1477,1.50,50.00,6
2026-06-21T04:00:00+00:00,96942044,0.109902,85783,60000000,0.1430,1.33,50.00,6
2026-06-21T05:00:00+00:00,96943844,0.134726,46297,60000000,0.0772,1.00,50.00,6
2026-06-21T06:00:00+00:00,96945644,0.119517,46297,60000000,0.0772,1.00,50.00,6
2026-06-21T07:00:00+00:00,96947444,0.125837,68470,60000000,0.1141,1.17,50.00,6
2026-06-21T08:00:00+00:00,96949244,0.123586,52822,60000000,0.0880,1.00,50.00,6
2026-06-21T09:00:00+00:00,96951044,0.112572,81585,60000000,0.1360,1.67,50.00,6
2026-06-21T10:00:00+00:00,96952844,0.482881,301004,60000000,0.5017,2.33,50.00,6
2026-06-21T11:00:00+00:00,96954644,0.128891,139558,60000000,0.2326,2.67,50.00,6
2026-06-21T12:00:00+00:00,96956444,0.134046,69069,60000000,0.1151,1.33,50.00,6
2026-06-21T13:00:00+00:00,96958244,0.082142,49095,60000000,0.0818,1.00,50.00,6
2026-06-21T14:00:00+00:00,96960044,0.133142,437340,60000000,0.7289,1.33,50.00,6
2026-06-21T15:00:00+00:00,96961844,0.136360,62138,60000000,0.1036,1.33,50.00,6
2026-06-21T16:00:00+00:00,96963644,0.115144,241348,60000000,0.4022,3.00,50.00,6
2026-06-21T17:00:00+00:00,96965444,0.117513,61413,60000000,0.1024,1.17,50.00,6
2026-06-21T18:00:00+00:00,96967244,0.112867,96563,60000000,0.1609,1.33,50.00,6
2026-06-21T19:00:00+00:00,96969044,0.098270,170844,60000000,0.2847,2.50,50.00,6
2026-06-21T20:00:00+00:00,96970844,0.108188,48162,60000000,0.0803,1.00,50.00,6
2026-06-21T21:00:00+00:00,96972644,0.131865,359849,60000000,0.5997,2.50,50.00,6
2026-06-21T22:00:00+00:00,96974444,0.111352,57661,60000000,0.0961,1.17,50.00,6
2026-06-21T23:00:00+00:00,96976244,0.067428,46297,60000000,0.0772,1.00,50.00,6
2026-06-22T00:00:00+00:00,96978044,0.064976,113943,60000000,0.1899,1.50,50.00,6
2026-06-22T01:00:00+00:00,96979844,0.114332,124472,60000000,0.2075,1.17,50.00,6
2026-06-22T02:00:00+00:00,96981644,0.078123,52042,60000000,0.0867,1.17,50.00,6
2026-06-22T03:00:00+00:00,96983444,0.069083,116427,60000000,0.1940,2.17,50.00,6
2026-06-22T04:00:00+00:00,96985244,0.071008,150869,60000000,0.2514,2.50,50.00,6
2026-06-22T05:00:00+00:00,96987044,0.066147,104117,60000000,0.1735,1.83,50.00,6
2026-06-22T06:00:00+00:00,96988844,0.150900,148443,60000000,0.2474,2.20,50.00,5
2026-06-22T07:00:00+00:00,96990644,0.101535,112882,60000000,0.1881,2.33,50.00,6
2026-06-22T08:00:00+00:00,96992444,0.238744,185357,60000000,0.3089,2.50,50.00,6
2026-06-22T09:00:00+00:00,96994244,0.133650,81150,60000000,0.1353,1.50,50.00,6
2026-06-22T10:00:00+00:00,96996044,0.114921,142751,60000000,0.2379,1.50,50.00,6
2026-06-22T11:00:00+00:00,96997844,0.120147,279486,60000000,0.4658,2.00,50.00,6
2026-06-22T12:00:00+00:00,96999644,0.118969,122328,60000000,0.2039,2.17,50.00,6
2026-06-22T13:00:00+00:00,97001444,0.138348,100262,60000000,0.1671,1.33,50.00,6
2026-06-22T14:00:00+00:00,97003244,0.284521,110870,60000000,0.1848,1.67,50.00,6
2026-06-22T15:00:00+00:00,97005044,0.812396,156594,60000000,0.2610,1.50,50.00,6
2026-06-22T16:00:00+00:00,97006844,0.524884,65245,60000000,0.1087,1.33,50.00,6
2026-06-22T17:00:00+00:00,97008644,0.202770,46295,60000000,0.0772,1.00,50.00,6
2026-06-22T18:00:00+00:00,97010444,0.173700,103557,60000000,0.1726,1.33,50.00,6
2026-06-22T19:00:00+00:00,97012244,0.155382,84563,60000000,0.1409,1.33,50.00,6
